epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.65832,1.56837,2.99068,1.3274,0.00369,1,0.55242,0.26994,1.21726,3.57314,1.0122,0.00062,0.00062,0.00062
2,15.3686,1.5391,1.94467,1.25893,0.63511,0.38462,0.43529,0.28178,1.34433,2.82218,1.13348,0.00123505,0.00123505,0.00123505
3,22.0263,1.54821,1.76436,1.27717,0.06091,0.26693,0.04409,0.02405,1.39299,4.92961,1.16131,0.00182476,0.00182476,0.00182476
4,28.4186,1.58963,1.64905,1.27875,0.48228,0.53846,0.45347,0.26812,1.28921,1.89352,1.15198,0.0018812,0.0018812,0.0018812
5,34.5862,1.52349,1.41399,1.26056,0.05157,0.53846,0.03944,0.02101,1.59701,7.83309,1.33593,0.0018416,0.0018416,0.0018416
6,39.6645,1.53603,1.34834,1.25719,0.81949,0.87315,0.90075,0.61719,1.18196,1.12916,1.06414,0.001802,0.001802,0.001802
7,44.7348,1.46643,1.20568,1.24584,0.82312,0.89499,0.93115,0.57736,1.3439,1.11305,1.07894,0.0017624,0.0017624,0.0017624
8,49.5862,1.52656,1.15574,1.25355,0.91341,0.84615,0.93726,0.61201,1.22676,1.09977,1.10418,0.0017228,0.0017228,0.0017228
9,54.4546,1.47,1.12209,1.24817,0.97836,0.90385,0.9403,0.64381,1.20638,0.86449,1.02729,0.0016832,0.0016832,0.0016832
10,59.1925,1.47372,1.01933,1.21836,0.94331,0.48077,0.5438,0.35662,1.33904,3.87289,1.11091,0.0016436,0.0016436,0.0016436
11,63.9737,1.4527,0.98117,1.22816,0.83156,0.80769,0.88329,0.60742,1.13276,0.88985,1.02526,0.001604,0.001604,0.001604
12,69.1483,1.41769,0.96593,1.20627,0.90332,0.89851,0.93247,0.55898,1.41963,0.87904,1.13484,0.0015644,0.0015644,0.0015644
13,74.0385,1.39974,0.89804,1.16931,0.94507,0.88462,0.94467,0.63993,1.29606,0.89845,1.09446,0.0015248,0.0015248,0.0015248
14,78.9623,1.38162,0.88825,1.18682,0.97696,0.86538,0.95746,0.64701,1.24002,0.80941,1.05734,0.0014852,0.0014852,0.0014852
15,83.8367,1.35841,0.84715,1.14963,0.93624,0.84719,0.94713,0.60721,1.30822,0.85514,1.05596,0.0014456,0.0014456,0.0014456
16,88.584,1.35315,0.81685,1.18128,0.89961,0.92308,0.97039,0.66573,1.13446,0.74827,1.02232,0.001406,0.001406,0.001406
17,93.2729,1.33054,0.8349,1.16266,0.94262,0.82692,0.94545,0.6591,1.0504,0.78551,1.00563,0.0013664,0.0013664,0.0013664
18,98.0796,1.29654,0.79022,1.15512,0.9191,0.90385,0.96502,0.63496,1.27223,0.73561,1.08373,0.0013268,0.0013268,0.0013268
19,102.825,1.34653,0.82159,1.17897,0.93235,0.90385,0.96058,0.65303,1.22346,0.69612,1.00167,0.0012872,0.0012872,0.0012872
20,107.751,1.32964,0.77575,1.15811,0.91159,0.88462,0.92082,0.54435,1.56033,0.82437,1.17447,0.0012476,0.0012476,0.0012476
21,112.608,1.32687,0.77297,1.16122,1,0.88444,0.96574,0.64188,1.35435,0.68617,1.11133,0.001208,0.001208,0.001208
22,117.362,1.22429,0.72712,1.10604,0.97456,0.92308,0.96376,0.66896,1.18869,0.74922,1.03243,0.0011684,0.0011684,0.0011684
23,122.081,1.31642,0.74138,1.1423,0.96004,0.96154,0.98011,0.67935,1.17213,0.6769,1.01074,0.0011288,0.0011288,0.0011288
24,127.186,1.28564,0.74796,1.12827,0.92407,0.98077,0.97911,0.69323,1.04852,0.67463,0.97678,0.0010892,0.0010892,0.0010892
25,132.815,1.20824,0.68738,1.09638,0.91414,0.92308,0.94854,0.67059,1.09944,0.67014,0.9918,0.0010496,0.0010496,0.0010496
26,138.204,1.21733,0.68679,1.10313,0.94322,0.95839,0.98184,0.69233,1.07582,0.5869,0.96959,0.00101,0.00101,0.00101
27,143.316,1.18631,0.68554,1.1002,0.98071,0.978,0.98034,0.67404,1.1443,0.59157,0.9912,0.0009704,0.0009704,0.0009704
28,148.389,1.22828,0.67631,1.11373,0.95706,0.96154,0.97698,0.66514,1.22443,0.58042,1.03113,0.0009308,0.0009308,0.0009308
29,153.329,1.22043,0.68892,1.11588,0.90017,0.96154,0.97097,0.64834,1.20836,0.69352,1.006,0.0008912,0.0008912,0.0008912
30,158.448,1.18783,0.67279,1.11105,0.89102,0.94342,0.97704,0.66173,1.1205,0.67812,0.9795,0.0008516,0.0008516,0.0008516
31,164.219,1.16053,0.67061,1.08967,0.95517,0.92308,0.97123,0.67854,1.10383,0.61509,0.98932,0.000812,0.000812,0.000812
32,169.467,1.12135,0.63938,1.06877,0.9604,0.94231,0.97004,0.67518,1.06267,0.63798,0.97115,0.0007724,0.0007724,0.0007724
33,174.452,1.12793,0.63692,1.06271,0.92136,0.94231,0.97363,0.67617,1.10271,0.59191,0.97505,0.0007328,0.0007328,0.0007328
34,179.353,1.10542,0.60708,1.05808,0.94111,0.92196,0.97647,0.65957,1.17546,0.62792,0.99811,0.0006932,0.0006932,0.0006932
35,184.343,1.15584,0.61377,1.08419,0.94199,0.93697,0.96777,0.67859,1.10001,0.58595,0.9702,0.0006536,0.0006536,0.0006536
36,189.248,1.09883,0.59758,1.06084,0.96133,0.95614,0.98311,0.69344,1.06996,0.54187,0.9618,0.000614,0.000614,0.000614
37,194.023,1.07979,0.57909,1.04329,0.92584,0.96038,0.97736,0.68548,1.12976,0.60595,0.9727,0.0005744,0.0005744,0.0005744
38,199.789,1.04434,0.58693,1.04413,0.95432,0.96154,0.97581,0.67301,1.12479,0.60059,0.98191,0.0005348,0.0005348,0.0005348
39,205.652,1.0197,0.56724,1.02339,0.97662,0.94231,0.98528,0.68298,1.12709,0.57761,0.97191,0.0004952,0.0004952,0.0004952
40,211.358,1.05774,0.5665,1.03688,0.92443,0.94095,0.97122,0.65008,1.23864,0.6482,1.02255,0.0004556,0.0004556,0.0004556
41,248.589,1.00031,0.52393,1.03528,0.98035,0.95961,0.98155,0.68331,1.15566,0.5971,1.00922,0.000416,0.000416,0.000416
42,253.676,0.99319,0.51324,1.05192,0.95661,0.96154,0.97273,0.69616,1.0621,0.57618,0.95735,0.0003764,0.0003764,0.0003764
43,259.157,0.98203,0.51395,1.04106,0.95908,0.94231,0.97157,0.65941,1.12694,0.57291,0.9745,0.0003368,0.0003368,0.0003368
44,264.675,0.95584,0.49814,1.01742,0.97351,0.96154,0.97294,0.67258,1.07604,0.59971,0.97574,0.0002972,0.0002972,0.0002972
45,270.517,0.94185,0.48076,1.0016,0.97631,0.96154,0.97079,0.69317,1.02959,0.54366,0.95044,0.0002576,0.0002576,0.0002576
46,276.099,0.91329,0.48245,1.00597,0.9745,0.96154,0.97605,0.68654,1.05256,0.53135,0.9438,0.000218,0.000218,0.000218
47,281.676,0.92127,0.48008,1.01255,0.95815,0.96154,0.97601,0.69334,1.05366,0.51631,0.95277,0.0001784,0.0001784,0.0001784
48,287.185,0.92711,0.48077,1.00687,0.97645,0.96154,0.97906,0.70939,1.05393,0.53553,0.96249,0.0001388,0.0001388,0.0001388
49,292.685,0.86988,0.45593,0.99385,0.97472,0.96154,0.97766,0.68965,1.058,0.53404,0.96813,9.92e-05,9.92e-05,9.92e-05
50,298.052,0.85471,0.45671,0.982,0.97153,0.96154,0.9782,0.69651,1.04378,0.53064,0.96743,5.96e-05,5.96e-05,5.96e-05
